City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Kamenka,RU,51.3223,42.7678,33.01,96,100,14.94,overcast clouds
273,Tacuarembo,UY,-31.7333,-55.9833,85.66,50,0,4.9,clear sky
274,Nizwa,OM,22.9333,57.5333,54.07,67,0,0.94,clear sky
275,Te Anau,NZ,-45.4167,167.7167,47.91,79,71,2.64,broken clouds
276,Bojnurd,IR,37.4747,57.329,24.8,80,0,7.85,clear sky
277,Lokoja,NG,7.8024,6.743,83.5,17,100,1.21,overcast clouds
278,Morro Bay,US,35.3658,-120.8499,52.0,96,100,5.99,moderate rain
279,Anadyr,RU,64.75,177.4833,12.2,85,40,40.26,snow
280,Mount Isa,AU,-20.7333,139.5,78.8,73,40,4.61,scattered clouds
281,Hinton,CA,53.4001,-117.5857,6.8,61,100,9.22,overcast clouds
282,Manacapuru,BR,-3.2997,-60.6206,86.0,74,75,6.91,broken clouds
283,Arvika,SE,59.6553,12.5852,17.6,100,75,2.3,broken clouds
284,Itarema,BR,-2.9248,-39.9167,80.94,74,0,14.92,clear sky
285,Caravelas,BR,-17.7125,-39.2481,78.03,75,100,5.75,overcast clouds
286,Mahina,PF,-17.5065,-149.489,84.2,70,75,3.44,light rain
287,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,77,75,8.05,broken clouds
288,Yorosso,ML,12.3536,-4.7761,75.94,16,0,9.24,clear sky
289,Nara,JP,34.6851,135.8049,39.99,81,20,2.3,few clouds
290,Anloga,GH,5.7947,0.8973,84.2,79,39,11.5,scattered clouds
291,Jinchang,CN,38.4953,102.1739,19.31,71,0,3.29,clear sky
292,Kosikha,RU,53.3617,84.5822,19.4,86,75,13.42,light snow
293,Souillac,MU,-20.5167,57.5167,75.2,83,40,4.61,scattered clouds
294,Tasiilaq,GL,65.6145,-37.6368,21.2,49,90,27.63,light snow
295,Beira,MZ,-19.8436,34.8389,80.6,89,20,5.75,few clouds
296,Axim,GH,4.8699,-2.2405,78.85,86,38,8.88,scattered clouds
297,Mmabatho,ZA,-25.85,25.6333,70.14,81,100,4.88,moderate rain
298,Alofi,NU,-19.0595,-169.9187,78.8,89,75,9.22,broken clouds
299,Xai-Xai,MZ,-25.0519,33.6442,79.05,84,77,10.78,broken clouds
300,Singaraja,ID,-8.112,115.0882,78.85,75,100,5.19,overcast clouds
301,Alpena,US,45.0617,-83.4327,19.99,68,90,11.5,overcast clouds
302,Torres,BR,-29.3353,-49.7269,77.85,81,100,6.85,overcast clouds
303,Tual,ID,-5.6667,132.75,83.68,77,99,17.2,overcast clouds
304,Capoterra,IT,39.1763,8.9718,55.0,100,20,12.66,few clouds
305,Calvinia,ZA,-31.4707,19.776,66.74,45,0,5.03,clear sky
306,Cayenne,GF,4.9333,-52.3333,80.6,74,40,6.91,scattered clouds
